"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"ACTN2.88"	"ACTN2|88"	"0.0562554882440582"	"0.0278122122839384"	"0.032256519612761"	"0.168191503686378"	"0.00685334200799044"	"1"
"ACTR3.10096"	"ACTR3|10096"	"0.605709337728503"	"0.651493982732278"	"0.617334843185871"	"0.732036377476877"	"0.220379026986069"	"1"
"ACVR2B.93"	"ACVR2B|93"	"0.247197432998899"	"0.0457792231517935"	"0.239892270576033"	"0.0123495508687941"	"0.00125961169130648"	"0.227989716126473"
"ACVRL1.94"	"ACVRL1|94"	"0.0151582920454785"	"0.00492244882895676"	"0.0477320950297298"	"0.0538981626680164"	"0.00551068651153573"	"0.997434258587968"
"ACY3.91703"	"ACY3|91703"	"0.292199933453454"	"0.227379942203785"	"0.486893891697261"	"0.204042570982217"	"0.00569043432643094"	"1"
"ADAD2.161931"	"ADAD2|161931"	"0.722818799038725"	"0.671112007246305"	"0.976871448151415"	"0.847225841134542"	"0.00634261122053105"	"1"
"ADAM19.8728"	"ADAM19|8728"	"0.00412082359734606"	"0.221967623197741"	"0.0051330260804955"	"0.316162973561953"	"0.00223058284429685"	"0.40373549481773"
"ADAM20.8748"	"ADAM20|8748"	"0.861789530604543"	"0.56201469790136"	"0.153608731031835"	"0.434101931998004"	"1.51184247916594e-07"	"2.73643488729036e-05"
"ADAM7.8756"	"ADAM7|8756"	"1"	"1"	"0.0583340723460988"	"0.0583340723460988"	"7.42490726794431e-47"	"1.34390821549792e-44"
"ADAM9.8754"	"ADAM9|8754"	"0.256682098348444"	"0.0990757136154343"	"0.2497342956868"	"0.205453810636828"	"0.00136419554095466"	"0.246919392912793"
"ADAMTS10.81794"	"ADAMTS10|81794"	"0.316609381743825"	"0.082782909564086"	"0.626033261386467"	"0.127179079273587"	"0.00213320992149857"	"0.386110995791241"
"ADAMTS14.140766"	"ADAMTS14|140766"	"0.239291520492741"	"0.0660476286919326"	"0.147970426095872"	"0.0139009129886098"	"0.0020432025523169"	"0.369819661969358"
"ADAMTS17.170691"	"ADAMTS17|170691"	"0.633147867570935"	"0.607327774572247"	"0.392471742319356"	"0.514790361429415"	"0.154714159610483"	"1"
"ADAMTS18.170692"	"ADAMTS18|170692"	"0.552676096093993"	"0.331479824034942"	"0.55267609609399"	"0.766875427553291"	"0.00501176723276258"	"0.907129869130027"
"ADAMTS20.80070"	"ADAMTS20|80070"	"1"	"1"	"0.852091894821541"	"0.268944200591518"	"4.57314699280557e-08"	"8.27739605697808e-06"
"ADAMTS4.9507"	"ADAMTS4|9507"	"0.177811889397661"	"0.0771204695750933"	"0.353224763400422"	"0.0903993322613114"	"0.0127760522296079"	"1"
"ADAMTS7.11173"	"ADAMTS7|11173"	"0.313246586063869"	"0.12337813608236"	"0.277101876004292"	"0.205820999480515"	"0.0232051591092299"	"1"
"ADAMTSL2.9719"	"ADAMTSL2|9719"	"0.645791334419169"	"0.241146195067616"	"0.665183360862959"	"0.250322947298945"	"0.133537623645587"	"1"
"ADAMTSL5.339366"	"ADAMTSL5|339366"	"0.475532256332435"	"0.644753765481416"	"0.669434595228557"	"0.538445117954229"	"0.0820860321354848"	"1"
"ADAP2.55803"	"ADAP2|55803"	"0.281091327736684"	"0.893399370603927"	"0.315173421532074"	"0.7835974445124"	"0.0533975939049157"	"1"
"ADAT3.113179"	"ADAT3|113179"	"0.537990704763972"	"0.391366660839298"	"0.415097872470333"	"0.360302102317919"	"0.0937140278750773"	"1"
"ADCK5.203054"	"ADCK5|203054"	"0.732024170924792"	"0.687968990670645"	"0.486137133092065"	"0.83207853845662"	"0.0567496649035142"	"1"
"ADCY1.107"	"ADCY1|107"	"9.05325380928016e-18"	"0"	"1.46741849208317e-22"	"1.7563188384537e-22"	"5.52710991377432e-27"	"1.00040689439315e-24"
"ADCY2.108"	"ADCY2|108"	"0.119006490574535"	"0.108852135899625"	"0.259695055959058"	"0.207037474028264"	"0.0113355997298843"	"1"
"ADCY5.111"	"ADCY5|111"	"0.942701354100776"	"0.611301292142649"	"0.264904471123108"	"0.303154455345883"	"0.0362020263879334"	"1"
"ADCY7.113"	"ADCY7|113"	"0.572818314676384"	"0.927204017757048"	"0.282052494124734"	"0.893071688963732"	"0.17547088518848"	"1"
"ADCY8.114"	"ADCY8|114"	"1"	"1"	"0.815120795904345"	"0.815120795904345"	"1.02200475701724e-27"	"1.8498286102012e-25"
"ADIPOR2.79602"	"ADIPOR2|79602"	"0.12193215076121"	"0.31705498524876"	"0.0809507881422794"	"0.23954689356817"	"0.00264489620597477"	"0.478726213281433"
"ADORA2A.135"	"ADORA2A|135"	"0.558572930194899"	"0.195814019573365"	"0.834159015569197"	"0.174688278159461"	"0.0348568172360445"	"1"
"ADPRHL1.113622"	"ADPRHL1|113622"	"0.886666461085192"	"0.19773441470597"	"0.698651257534096"	"0.661205946670607"	"0.0102185097613081"	"1"
"ADPRH.141"	"ADPRH|141"	"0.0545749103057082"	"0.0489044002972462"	"0.0728712067592824"	"0.1409132921627"	"0.0153005955813018"	"1"
"ADRM1.11047"	"ADRM1|11047"	"0.516092423748583"	"0.651626860836299"	"0.835860727515205"	"0.814351130063605"	"0.150359123598542"	"1"
"ADSS.159"	"ADSS|159"	"0.648968146069028"	"0.408169061147863"	"0.388548548842068"	"0.842243605920218"	"0.0749592481256745"	"1"
"AEBP1.165"	"AEBP1|165"	"0.00329604093018472"	"0.064790163358133"	"0.00257795580305421"	"0.0558626862446103"	"0.0015929238653594"	"0.288319219630051"
"AEBP2.121536"	"AEBP2|121536"	"1.53271439334999e-47"	"0"	"3.62634801300914e-49"	"3.96224016748078e-28"	"9.21233349742817e-53"	"1.6674323630345e-50"
"AEN.64782"	"AEN|64782"	"0.194926411259776"	"0.362225403239214"	"0.270340062990057"	"0.730322861031443"	"0.0397349089949147"	"1"
"AFAP1.60312"	"AFAP1|60312"	"0.0845499241923264"	"0.165266749185435"	"0.222314212939398"	"0.174154868611422"	"0.0575714003446072"	"1"
"AFG3L2.10939"	"AFG3L2|10939"	"9.46460075954122e-54"	"0"	"6.15064607187763e-52"	"3.83270903504277e-28"	"9.46460075954122e-54"	"1.71309273747696e-51"
"AFM.173"	"AFM|173"	"1"	"1"	"0.659013567415073"	"0.659013567415073"	"2.14568034517494e-45"	"3.88368142476665e-43"
"AFP.174"	"AFP|174"	"1"	"1"	"0.057112767232422"	"0.115971198158421"	"1.14159877805708e-10"	"2.06629378828331e-08"
"AGAP11.119385"	"AGAP11|119385"	"0.0615046615295559"	"0.128667836579321"	"0.0707677465027084"	"0.189223911392952"	"0.00872375933523692"	"1"
"AGAP2.116986"	"AGAP2|116986"	"0.196399659553502"	"0.156317629877091"	"0.40675806782312"	"0.863605950092919"	"0.0120863332745466"	"1"
"AGAP7.653268"	"AGAP7|653268"	"0.100371415912954"	"0.680138514361057"	"0.728473909295708"	"0.98792445877942"	"0.00402987001662187"	"0.729406473008559"
