"Mean_Difference"	"cancer"
1.10338581763799	"HN"
2.56389368905259	"HN"
1.38244031924079	"HN"
0.69472155295136	"HN"
1.78468277328856	"HN"
0.85424113358356	"HN"
0.890735388949276	"HN"
3.89172448190639	"HN"
4.14297018803087	"HN"
1.99217186651429	"HN"
2.96545452014337	"HN"
5.13499512708371	"HN"
1.88060292316614	"HN"
1.86420110983351	"HN"
2.08964949901655	"HN"
0.983792016915453	"HN"
2.29405521269696	"HN"
4.81517393911893	"HN"
1.71046084529133	"HN"
1.44391378542812	"HN"
1.79105579536811	"HN"
4.56087399503493	"HN"
0.546814042814955	"HN"
0.860905714214028	"HN"
3.12444509983417	"HN"
1.56982308382697	"HN"
1.06093767555879	"HN"
0.962573989719897	"HN"
1.64155619853932	"HN"
6.36023892925172	"HN"
0.987715462577685	"HN"
1.65385049646381	"HN"
1.12405518103228	"HN"
1.69915366792184	"HN"
3.69986624348757	"HN"
1.27839176531933	"HN"
1.45581375017357	"HN"
1.13682980279253	"HN"
0.910065652347302	"HN"
3.13177035935922	"HN"
1.1134864908355	"HN"
2.84587879958367	"HN"
0.74373264661719	"HN"
0.976827098449809	"HN"
1.60010739323721	"HN"
1.6938820155907	"HN"
3.15578767799166	"HN"
2.50377991139321	"HN"
7.00205011224219	"HN"
1.77553634132404	"HN"
1.64321658575457	"HN"
2.87572438992479	"HN"
2.13797887015787	"HN"
5.79025690365091	"HN"
1.61735911500605	"HN"
1.51299051205518	"HN"
1.11761142395227	"HN"
1.45074297094099	"HN"
0.826159895795073	"HN"
1.23734437012573	"HN"
1.82635847268105	"HN"
5.45447065731095	"HN"
2.68911480679129	"HN"
6.83843000225405	"HN"
7.01937230321164	"HN"
2.60774774535646	"HN"
1.04048764231146	"HN"
3.27180801266027	"HN"
2.13323010926022	"HN"
1.11098353076921	"HN"
4.58671434689363	"HN"
6.46476904107616	"HN"
2.60646438783399	"HN"
3.03310694322462	"HN"
0.777497037441936	"HN"
4.40312065678085	"HN"
0.744792326811061	"HN"
5.4506688232654	"HN"
1.27207167066334	"HN"
9.40646297463509	"HN"
1.16339454958069	"HN"
5.6946869764994	"HN"
6.9847144467556	"HN"
2.63101817416019	"HN"
1.46434915741144	"HN"
5.8818520006896	"HN"
